#Classification	sample2_count	sample2_perc
x__cellular_organisms	106882	98.14
x__cellular_organisms|x__Bacteria	106877	98.13
x__cellular_organisms|x__Bacteria|k__Bacillati	106724	97.99
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota	106718	97.99
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli	106597	97.88
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales	106567	97.85
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	106403	97.7
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	106392	97.69
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	82281	75.55
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_SPN034183	30	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_Hungary19A-6	11	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_CGSP14	11	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_gamPNI0373	10	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_PCS8235	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_670-6B	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_INV200	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_D39	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_70585	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_SPN032672	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_P1031	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_R6	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_ST556	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_OXC141	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_JJA	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_Taiwan19F-14	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|x__Streptococcus_pneumoniae_TIGR4	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group	474	0.44
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_mitis	341	0.31
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_mitis|x__Streptococcus_mitis_B6	15	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_gwangjuensis	87	0.08
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_mitis_group|s__Streptococcus_toyakuensis	8	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus	146	0.13
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._116-D4	27	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._NPS_308	18	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._DTU_2020_1001019_1_SI_AUS_MUR_006	17	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._KHUD_011	16	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._SN-1	11	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._oral_taxon_061	8	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._Marseille-Q3533	7	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._K0074	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._D7B5	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._oral_taxon_431	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._1643	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._ZY19097	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._DTU_2020_1000888_1_SI_GRL_NUU_041A	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._HSISS2	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._ZJ_1593	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._A12	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._HSISS3	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._FSL_W8-0197	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__unclassified_Streptococcus|s__Streptococcus_sp._CP1998	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	118	0.11
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_subsp._oralis	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_Uo5	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_subsp._tigurinus	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|x__Streptococcus_oralis_subsp._dentisani	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae	38	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae|x__Streptococcus_pseudopneumoniae_IS7493	38	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_thalassemiae_group	33	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_thalassemiae_group|s__Streptococcus_parapneumoniae	33	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	17	0.02
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|x__Streptococcus_thermophilus_M17PTZA496	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|x__Streptococcus_thermophilus_TH1477	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis	16	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group	9	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group|s__Streptococcus_intermedius	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group|s__Streptococcus_intermedius|x__Streptococcus_intermedius_C270	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_anginosus_group|s__Streptococcus_anginosus	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	8	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis|x__Streptococcus_sanguinis_SK36	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	6	0.01
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|x__Streptococcus_parasanguinis_ATCC_15912	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_respiraculi	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_canis	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi	5	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|x__Streptococcus_dysgalactiae_group|s__Streptococcus_equi|x__Streptococcus_equi_subsp._zooepidemicus	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudoporcinus	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	4	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus|x__Streptococcus_cristatus_ATCC_51100	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_nidrosiense	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_halichoeri	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_himalayensis	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_acidominimus	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iniae	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pantholopis	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lactarius	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_equinus	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_merionis	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sobrinus	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_marmotae	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_chenjunshii	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_zhangguiae	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_ratti	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iners	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	3	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	2	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Floricoccus	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Floricoccus|s__Floricoccus_penangensis	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners	1	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	1	0.0
